id,job_completed,scf_converged,energy_ev,oh_1_ang,oh_2_ang,hh_ang,hoh_angle_deg
sample_0001,True,True,-469.0884711606273,0.9943028640685149,0.9786390681883932,1.554309389689694,103.96038474900735
sample_0002,True,True,-469.08300167203765,0.998133691586708,0.9740695760166298,1.5495325902012849,103.56163039383033
sample_0003,True,True,-469.0945665110953,0.9740048345268018,0.9799680796301267,1.5504445675540828,105.02402763101863
sample_0004,True,True,-469.0452322682447,1.0087355992111253,0.9463367937951185,1.5334382974550618,103.27285094602185
sample_0005,True,True,-469.09126032769416,0.9669207430400865,0.9685649785830662,1.5432464794321412,105.75425931864244
sample_0006,True,True,-469.07716482973683,1.002121072287955,0.9884189482728365,1.563658122536705,103.54002637052317
sample_0007,True,True,-469.0399668650502,0.9515606207230863,0.938803080601053,1.5458036492747675,109.7141974407469
sample_0008,True,True,-469.07143683298,1.0017092320848293,0.956398496567135,1.555310970760479,105.15355175328996
sample_0009,True,True,-469.02369445621144,0.9863658920244232,0.9272235739927734,1.554368247563805,108.59903231889322
sample_0010,True,True,-469.09127393338713,0.976050186100315,0.9709779686596456,1.5709255974980039,107.57492072659869
sample_0011,True,True,-469.05192626920507,0.9371707594926173,0.9820785001382603,1.5129478822064357,104.02971461930471
sample_0012,True,True,-469.0731919673782,0.9569045540174455,0.9515988864532378,1.5088720812978562,104.48380081142002
sample_0013,True,True,-469.08897457126864,0.9693383121004856,0.988415028492253,1.546228394953028,104.32892933511337
sample_0014,True,True,-469.0711511134269,0.9469042873312644,0.9770994686274047,1.5580612658573705,108.14287161198376
sample_0015,True,True,-469.08475680643585,0.9912648092014178,0.9623635694268575,1.5487014064792353,104.87325055912287
sample_0016,True,True,-469.0262659321901,0.9289276256867304,0.990960768531818,1.543048380125557,106.92888048577692
sample_0017,True,True,-469.0848384405939,0.9874230208329523,0.9617838591866901,1.5589325569418706,106.21035263993586
sample_0018,True,True,-469.08603574157866,0.9871925426574183,0.9621848792528496,1.5478603046772823,105.1198729068526
sample_0019,True,True,-469.05686513576734,1.015311132579511,0.9648215700420617,1.5867551687661816,106.48826084174432
sample_0020,True,True,-469.06434826692237,1.008786941165104,0.9937926654998996,1.5853987503443547,104.68277265852598
